Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
626332,1,5977,1718,Venstre,2004-11-18 10:00:00
626333,1,5977,364,Venstre,2004-11-18 10:00:00
626334,1,5977,1461,Venstre,2004-11-18 10:00:00
626335,2,5977,920,Socialdemokratiet,2004-11-18 10:00:00
626336,1,5977,1759,Det Konservative Folkeparti,2004-11-18 10:00:00
626337,1,5977,1792,Venstre,2004-11-18 10:00:00
626338,1,5977,1815,Dansk Folkeparti,2004-11-18 10:00:00
626339,1,5977,1823,Det Konservative Folkeparti,2004-11-18 10:00:00
626340,1,5977,1777,Dansk Folkeparti,2004-11-18 10:00:00
626341,1,5977,1739,Venstre,2004-11-18 10:00:00
626342,1,5977,1745,Venstre,2004-11-18 10:00:00
626343,1,5977,676,Dansk Folkeparti,2004-11-18 10:00:00
626344,1,5977,1431,Dansk Folkeparti,2004-11-18 10:00:00
626345,1,5977,677,Dansk Folkeparti,2004-11-18 10:00:00
626346,1,5977,1811,Venstre,2004-11-18 10:00:00
626347,1,5977,1818,Venstre,2004-11-18 10:00:00
626348,1,5977,64,Venstre,2004-11-18 10:00:00
626349,1,5977,1817,Venstre,2004-11-18 10:00:00
626350,1,5977,657,Venstre,2004-11-18 10:00:00
626351,1,5977,1771,Dansk Folkeparti,2004-11-18 10:00:00
626352,1,5977,1814,Venstre,2004-11-18 10:00:00
626353,1,5977,217,Venstre,2004-11-18 10:00:00
626354,1,5977,646,Venstre,2004-11-18 10:00:00
626355,1,5977,645,Venstre,2004-11-18 10:00:00
626356,1,5977,245,Liberal Alliance,2004-11-18 10:00:00
626357,1,5977,1760,Venstre,2004-11-18 10:00:00
626358,1,5977,665,Det Konservative Folkeparti,2004-11-18 10:00:00
626359,1,5977,279,Venstre,2004-11-18 10:00:00
626360,1,5977,193,Venstre,2004-11-18 10:00:00
626361,1,5977,1115,Venstre,2004-11-18 10:00:00
626362,1,5977,918,Sambandsflokkurin,2004-11-18 10:00:00
626363,1,5977,206,Venstre,2004-11-18 10:00:00
626364,1,5977,661,Uden for folketingsgrupperne,2004-11-18 10:00:00
626365,1,5977,725,Venstre,2004-11-18 10:00:00
626366,1,5977,1757,Venstre,2004-11-18 10:00:00
626367,1,5977,1299,Det Konservative Folkeparti,2004-11-18 10:00:00
626368,1,5977,1769,Dansk Folkeparti,2004-11-18 10:00:00
626369,1,5977,182,Danmarksdemokraterne,2004-11-18 10:00:00
626370,1,5977,1761,Det Konservative Folkeparti,2004-11-18 10:00:00
626371,1,5977,1740,Dansk Folkeparti,2004-11-18 10:00:00
626372,1,5977,212,Venstre,2004-11-18 10:00:00
626373,1,5977,1791,Venstre,2004-11-18 10:00:00
626374,1,5977,1749,Venstre,2004-11-18 10:00:00
626375,1,5977,1916,Det Konservative Folkeparti,2004-11-18 10:00:00
