icpsr,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
10717,8.08248263513795,-3.865330783126274,-0.048234220083641796,20.132249592343666,-6.7866945,13.960952
10727,-8.133731674036186,1.2870187226273995,-13.332624231459278,-8.467535410700043,13.857392,-1.4522424
10732,-3.453144708042723,3.4697750794922286,-0.25769900480330576,-1.9797231598819751,13.387214,0.94053334
10742,0.7913222132929648,3.976843636911245,-7.778465444646833,11.201055813923455,14.536577,-0.35722774
10757,-7.377735357089426,3.791748629523885,-6.037557578198508,-9.495178570475602,13.500675,-1.835348
10768,-8.506058877913778,2.148705073022883,-8.644710851784616,-13.641893685681682,13.891863,-1.2507141
10788,-8.060578706417441,-3.288185989004113,2.4424780772884054,-20.085917154543118,12.6543,-1.2795874
10794,8.048114415534116,-3.1548083791870254,-0.020869049136842545,16.259749480961307,-6.9641595,13.238667
11000,-3.7324782688360263,1.7566498870363976,-7.481978787775527,4.318381706412047,12.189724,1.6746016
11020,9.375265656733454,-1.0573539472203861,17.41018770882035,-1.3448208451364738,-6.6514554,13.288831
11034,13.11871086980629,-2.065509818842349,19.29637597070656,6.856414078091796,-7.3069167,14.70792
11035,0.7410419457169461,1.5392100682430976,4.58099338405457,-0.011469344917390276,11.972306,2.3434339
11036,7.910473904585174,0.31767901529132697,1.2104564116374097,12.869156739822618,-6.5763993,13.155847
11058,9.702020040262873,-1.3889483576569983,14.56610234321597,2.2698097399462682,-6.70311,12.920874
11067,-7.337311520570203,-2.80743069060344,-17.940442101114254,4.759610061204609,13.887724,0.092067115
12000,-8.658581142485573,-3.396231063563623,-0.1714864467167964,-21.384341585210585,13.108335,-1.2949939
12001,-5.922958520183514,3.2891473000460385,-7.285760691463829,-1.8967862590993476,12.747703,-0.58590496
12009,-7.0723083184584805,2.67199281505243,-14.126813985078655,-10.5618406170365,14.496135,-1.3509661
12010,6.4789183284396294,-3.8049236386849095,-5.499907809010214,17.855483499044116,-6.8471465,13.686015
12013,4.010923748333574,0.4673297408546572,-2.227510482947345,11.270732698504608,-5.542491,12.979151
12030,-8.227089908426603,3.7295828436100606,-7.748478084099108,-12.151943781514138,14.160219,-1.4646385
12035,-6.703598658319736,-2.224203010517569,-15.946752956020187,5.610222265140155,13.635086,-0.06482985
12036,-6.422201192865,4.5132202926171185,-1.0023293030490321,-9.301737920511298,13.782212,-0.8291479
12041,13.664040938502596,-0.6956531615074375,12.35905398860918,19.114086791302356,-7.341072,15.724637
12042,-6.383661050062988,0.8244038936006722,-14.579442456124765,1.9996428298175963,13.406181,-0.42248031
13002,12.23271039567234,-1.550175980353146,9.040776831471069,16.67263592490209,-7.6956744,14.908812
13003,-6.0507584762552815,1.4278438936373272,-10.790326261246884,1.4280298318104483,12.997874,0.03140076
13011,-8.2187170403992,3.36558909606776,-9.136531599172558,-12.474621791668786,14.321151,-2.0444415
