session,ID,party,name,coord1D,coord2D,se1D,se2D,var1D,var2D,loglikelihood,numVotes,numErrors,GMP,numeric_id,original_id
1,Legislator 643,1,Legislator 643,-0.627469658851624,0.0114132203161716,0,0,0,0,-15.7222900390625,448,8,0.965514242649078,1,14066
1,Legislator 644,1,Legislator 644,0.414535373449326,-0.335817754268646,0,0,0,0,-21.4336910247803,232,9,0.911752581596375,1,14066
1,Legislator 645,1,Legislator 645,0.388964176177979,-0.6028972864151,0,0,0,0,-17.7762069702148,250,5,0.931364238262177,1,14066
1,Legislator 646,1,Legislator 646,0.492157369852066,-0.648719489574432,0,0,0,0,-19.6214485168457,228,6,0.91754013299942,1,14066
1,Legislator 647,1,Legislator 647,0.515662789344788,0.0221247337758541,0,0,0,0,-23.1995944976807,115,6,0.817310988903046,1,14066
1,Legislator 648,1,Legislator 648,-0.85430908203125,-0.55190497636795,0,0,0,0,-2.90809369087219,114,1,0.974813044071198,1,14066
1,Legislator 649,1,Legislator 649,-0.532115817070007,-0.171687260270119,0,0,0,0,-0.137429848313332,115,0,0.998805642127991,1,14066
1,Legislator 650,1,Legislator 650,0.53255021572113,-0.0361639894545078,0,0,0,0,-29.5990467071533,115,16,0.773072063922882,1,14066
1,Legislator 651,1,Legislator 651,0.45978769659996,-0.231415793299675,0,0,0,0,-6.74401950836182,64,3,0.899986684322357,1,14066
1,Legislator 652,1,Legislator 652,-0.199002027511597,-0.12346950173378,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 653,1,Legislator 653,-0.432251632213593,-0.138661310076714,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 654,1,Legislator 654,-0.467008084058762,-0.28953629732132,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 655,1,Legislator 655,-0.215949490666389,-0.318546742200851,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 656,1,Legislator 656,-0.338564366102219,-0.285273611545563,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 657,1,Legislator 657,-0.587472379207611,-0.395010411739349,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 658,1,Legislator 658,-0.25332760810852,-0.257613152265549,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 659,1,Legislator 659,-0.138597965240479,0.167780429124832,0,0,0,0,0.0,0,0,,1,14066
1,Legislator 660,1,Legislator 660,-0.483764111995697,-0.0904514417052269,0,0,0,0,0.0,0,0,,1,14066
2,Legislator 1,1,Legislator 1,0.360039114952087,0.0549796260893345,0,0,0,0,-217.982681274414,766,82,0.752335667610168,2,14854
2,Legislator 2,1,Legislator 2,0.412810623645782,-0.903514862060547,0,0,0,0,-62.7508087158203,797,20,0.92428594827652,2,14854
2,Legislator 3,1,Legislator 3,0.233190596103668,0.0480615384876728,0,0,0,0,-216.778778076172,773,106,0.755452573299408,2,14854
2,Legislator 4,1,Legislator 4,-0.606612384319305,-0.0407465323805809,0,0,0,0,-16.784122467041,795,6,0.979109168052673,2,14854
2,Legislator 5,1,Legislator 5,-0.389653563499451,-0.0971071124076843,0,0,0,0,-90.2199325561523,797,29,0.892972588539124,2,14854
2,Legislator 6,1,Legislator 6,-0.629947483539581,-0.152831241488457,0,0,0,0,-26.2991046905518,788,10,0.967176258563995,2,14854
2,Legislator 7,1,Legislator 7,-0.485402911901474,0.653158783912659,0,0,0,0,-48.6972846984863,775,14,0.939098238945007,2,14854
2,Legislator 8,1,Legislator 8,-0.617513179779053,0.0704472959041595,0,0,0,0,-16.0198974609375,805,5,0.980296194553375,2,14854
2,Legislator 9,1,Legislator 9,0.230202883481979,0.0042123422026634,0,0,0,0,-163.4189453125,804,72,0.816068172454834,2,14854
2,Legislator 10,1,Legislator 10,-0.720140635967255,-0.0621113330125809,0,0,0,0,-0.565487802028656,68,0,0.991718471050262,2,14854
2,Legislator 11,1,Legislator 11,-0.6282599568367,0.540079832077026,0,0,0,0,-18.953031539917,809,8,0.976844549179077,2,14854
2,Legislator 12,1,Legislator 12,-0.58798098564148,0.187974914908409,0,0,0,0,-13.4311189651489,796,2,0.983268320560455,2,14854
2,Legislator 13,1,Legislator 13,-0.630122542381287,0.0940920189023018,0,0,0,0,-15.4627561569214,807,5,0.981021583080292,2,14854
2,Legislator 14,1,Legislator 14,-0.498996406793594,0.107789732515812,0,0,0,0,-33.609619140625,802,11,0.958958745002747,2,14854
2,Legislator 15,1,Legislator 15,-0.655510067939758,0.0664565414190292,0,0,0,0,-27.379093170166,808,9,0.96668267250061,2,14854
2,Legislator 16,1,Legislator 16,0.480389088392258,-0.136168956756592,0,0,0,0,-112.724006652832,788,46,0.866710066795349,2,14854
2,Legislator 17,1,Legislator 17,-0.558456778526306,-0.0501285195350647,0,0,0,0,-31.7901153564453,805,7,0.961278796195984,2,14854
2,Legislator 18,1,Legislator 18,0.502129852771759,-0.388791292905807,0,0,0,0,-109.641296386719,774,49,0.867920279502869,2,14854
2,Legislator 19,1,Legislator 19,-0.60284149646759,-0.10974109172821,0,0,0,0,-35.0453567504883,804,11,0.957347571849823,2,14854
2,Legislator 20,1,Legislator 20,0.481813281774521,-0.239534616470337,0,0,0,0,-132.482070922852,761,51,0.840221762657166,2,14854
2,Legislator 21,1,Legislator 21,-0.765511989593506,0.484258532524109,0,0,0,0,-25.5371913909912,768,9,0.967295229434967,2,14854
2,Legislator 22,1,Legislator 22,0.483015060424805,-0.691938102245331,0,0,0,0,-80.3682403564453,799,26,0.904307305812836,2,14854
2,Legislator 23,1,Legislator 23,-0.640640676021576,0.29611998796463,0,0,0,0,-16.3187885284424,785,5,0.979426324367523,2,14854
2,Legislator 24,1,Legislator 24,0.328881621360779,-0.342092990875244,0,0,0,0,-128.335983276367,793,48,0.850580632686615,2,14854
2,Legislator 25,1,Legislator 25,-0.533255875110626,-0.223775565624237,0,0,0,0,-21.8027896881104,801,6,0.973147630691528,2,14854
2,Legislator 26,1,Legislator 26,-0.56512463092804,-0.361798673868179,0,0,0,0,-21.8833427429199,797,4,0.9729163646698,2,14854
2,Legislator 27,1,Legislator 27,-0.63977313041687,-0.15084083378315,0,0,0,0,-22.1244010925293,800,8,0.972723424434662,2,14854
2,Legislator 28,1,Legislator 28,0.344906210899353,-0.291690587997437,0,0,0,0,-101.690841674805,798,40,0.880353152751923,2,14854
2,Legislator 29,1,Legislator 29,-0.534343719482422,0.136568084359169,0,0,0,0,-19.4615802764893,656,6,0.970768690109253,2,14854
2,Legislator 30,1,Legislator 30,0.357866287231445,-0.686068594455719,0,0,0,0,-120.239242553711,807,42,0.861573100090027,2,14854
2,Legislator 31,1,Legislator 31,0.572470903396606,0.208022058010101,0,0,0,0,-146.765731811523,788,66,0.830065310001373,2,14854
2,Legislator 32,1,Legislator 32,0.564338088035583,-0.593634486198425,0,0,0,0,-128.304443359375,724,55,0.83759880065918,2,14854
2,Legislator 33,1,Legislator 33,-0.258903205394745,0.122276306152344,0,0,0,0,-105.672462463379,800,39,0.876261591911316,2,14854
2,Legislator 34,1,Legislator 34,-0.67987984418869,-0.344206005334854,0,0,0,0,-24.4496173858643,788,8,0.969448983669281,2,14854
2,Legislator 35,1,Legislator 35,-0.638609111309052,0.0726465433835983,0,0,0,0,-37.0108413696289,773,13,0.953248679637909,2,14854
